Rank,Views,Likes,Comments,Title,VideoID,PublishDate,Link,Region,Source_File,Thumbnail
9,124817306,975941,91957,Bessan Ismail - Al Harbein (Official Music Video) | بيسان اسماعيل - الحربين,hDd4B5yuYJY,2025-01-07,https://www.youtube.com/watch?v=hDd4B5yuYJY,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/hDd4B5yuYJY/maxresdefault.webp
10,91281400,323647,12853,رعد الناصري - شوفولي جاره  | Raad El Nassri - Shofouli Jarah #حصريا 2025 #عيد_الحب,1xg1EEVnbyI,2025-02-11,https://www.youtube.com/watch?v=1xg1EEVnbyI,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/1xg1EEVnbyI/maxresdefault.webp
11,76412260,670477,31680,Maher Zain & Harris J - Qalbi Fil Madinah | Official Lyric Video | قلبي في المدينة,ik8jfDQrLAs,2025-03-09,https://www.youtube.com/watch?v=ik8jfDQrLAs,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/ik8jfDQrLAs/maxresdefault.webp
12,75348588,328253,22899,Amjad Jomaa - Al Sab3 (Official Music Video) | أمجد جمعة - السبع,_HF671bgtng,2025-06-06,https://www.youtube.com/watch?v=_HF671bgtng,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/_HF671bgtng/maxresdefault.webp
13,73122577,713159,85266,Fouad Jned x Bessan Ismail x Amjad Jomaa - 3lash (Official Music Video) | علاش,vGmQrRVEvJ8,2025-08-08,https://www.youtube.com/watch?v=vGmQrRVEvJ8,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/vGmQrRVEvJ8/maxresdefault.jpg
14,69145362,201427,5775,Adam - Ya Helou (Official Music Video) | آدم - يا حلو,GEucCNFsr84,2025-07-11,https://www.youtube.com/watch?v=GEucCNFsr84,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/GEucCNFsr84/maxresdefault.jpg
15,68476253,245658,13173,akhras - Harb (Official Music Video) | الاخرس - حرب,tP9RzrwvNfw,2025-08-29,https://www.youtube.com/watch?v=tP9RzrwvNfw,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/tP9RzrwvNfw/maxresdefault.webp
16,68395908,411505,16257,Maha Ftouni - Awel Hob (Official Lyric Video) | مهى فتوني - أول حب,EXUEn28ajSA,2025-01-22,https://www.youtube.com/watch?v=EXUEn28ajSA,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/EXUEn28ajSA/maxresdefault.webp
17,67627655,344977,16271,TUL8TE - El Hob Gany I تووليت - الحب جاني,w7JBHSx5ScA,2025-10-01,https://www.youtube.com/watch?v=w7JBHSx5ScA,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/w7JBHSx5ScA/maxresdefault.jpg
18,65269915,166875,13429,Fadel Chaker - Hawa Aljnoub | فضل شاكر - هوى الجنوب | 2025,qtmCCy-sc8g,2025-03-31,https://www.youtube.com/watch?v=qtmCCy-sc8g,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/qtmCCy-sc8g/maxresdefault.webp
19,64112851,295818,3727,KALAMANTINA / كلمنتينا,GJ6iWDK1sgI,2025-02-13,https://www.youtube.com/watch?v=GJ6iWDK1sgI,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/GJ6iWDK1sgI/maxresdefault.webp
20,60854346,537495,11118,Mohamed Mounir FT Tamer Hosny - El zouA El Aaly ( Music Video) محمد منير وتامر حسني - الذوق العالي,TV0wqllm324,2025-07-15,https://www.youtube.com/watch?v=TV0wqllm324,All Regions,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/TV0wqllm324/maxresdefault.jpg
